type,url,slug,title,category,verdict,action,indexable,body_words,faq_words,original_words,h2_count,visible_verify,verify_total,placeholders,posts,duplicate_of,flags
article,https://nxtsmarthome.com.au/security-and-cameras/wired-vs-battery-security-cameras-australia/,wired-vs-battery-security-cameras-australia,Wired vs Battery Security Cameras: Which Is Best in Australia?,security,OK,,yes,1031,338,,5,0,0,,,,
article,https://nxtsmarthome.com.au/security-and-cameras/smart-lock-compatibility-australian-doors/,smart-lock-compatibility-australian-doors,Smart Lock Compatibility: Will It Fit Your Australian Door?,security,OK,,yes,1153,346,,7,0,0,,,,
article,https://nxtsmarthome.com.au/energy-and-solar/standby-power-costs-appliances-australia/,standby-power-costs-appliances-australia,Standby Power: Which Appliances Cost the Most to Leave On?,energy,OK,,yes,1345,391,,6,0,0,,,,
article,https://nxtsmarthome.com.au/climate-and-comfort/best-smart-fans-australia/,best-smart-fans-australia,Best Smart Fans in Australia for Summer (2026),climate,OK,,yes,1123,368,,6,0,0,,,,
article,https://nxtsmarthome.com.au/climate-and-comfort/indoor-air-quality-monitor-co2-pm25/,indoor-air-quality-monitor-co2-pm25,Indoor Air Quality Monitors: What CO2 and PM2.5 Readings Mean,climate,OK,,yes,1282,376,,7,0,0,,,,
article,https://nxtsmarthome.com.au/climate-and-comfort/smart-ducted-air-con-zoning/,smart-ducted-air-con-zoning,Ducted Air Con Zoning: Can You Make It Smart?,climate,OK,,yes,1146,357,,7,0,0,,,,
article,https://nxtsmarthome.com.au/setup-guides/name-smart-devices-voice-commands/,name-smart-devices-voice-commands,How to Name Smart Devices So Voice Commands Actually Work,setup-guides,OK,,yes,1225,323,,7,0,0,,,,
article,https://nxtsmarthome.com.au/robot-vacuums/robot-vacuum-keeps-getting-stuck/,robot-vacuum-keeps-getting-stuck,Why Does My Robot Vacuum Keep Getting Stuck? 9 Fixes,robot-vacuums,OK,,yes,1298,339,,5,0,0,,,,
article,https://nxtsmarthome.com.au/lighting/circadian-smart-lighting-sleep/,circadian-smart-lighting-sleep,Do Circadian Smart Lights Improve Sleep? Tunable White Explained,lighting,OK,,yes,1118,303,,8,0,0,,,,
article,https://nxtsmarthome.com.au/lighting/smart-lighting-scene-ideas/,smart-lighting-scene-ideas,Smart Lighting Scene Ideas for Every Room in the House,lighting,OK,,yes,1278,388,,6,0,0,,,,
article,https://nxtsmarthome.com.au/entertainment-and-audio/home-cinema-lighting-automation/,home-cinema-lighting-automation,Home Cinema Automation: Dim the Lights When the Movie Starts,entertainment,OK,,yes,1324,353,,7,0,0,,,,
article,https://nxtsmarthome.com.au/entertainment-and-audio/echo-show-vs-nest-hub/,echo-show-vs-nest-hub,Echo Show vs Google Nest Hub: Which Smart Display Is Better?,entertainment,OK,,yes,1117,396,,8,0,0,,,,
article,https://nxtsmarthome.com.au/entertainment-and-audio/wireless-home-theatre-setup-australia/,wireless-home-theatre-setup-australia,Wireless Home Theatre Setup Guide for Australian Living Rooms,entertainment,OK,,yes,1200,336,,8,0,0,,,,
article,https://nxtsmarthome.com.au/entertainment-and-audio/smart-tv-parental-controls-setup/,smart-tv-parental-controls-setup,Smart TV Parental Controls: Setup Guide for Every Major Brand,entertainment,OK,,yes,1200,349,,6,0,0,,,,
article,https://nxtsmarthome.com.au/security-and-cameras/reolink-vs-eufy-security-cameras/,reolink-vs-eufy-security-cameras,Reolink vs Eufy: Which Security Camera Brand Is Better?,security,OK,,yes,1641,372,,10,0,0,,,,
article,https://nxtsmarthome.com.au/lighting/smart-lighting-kids-rooms/,smart-lighting-kids-rooms,Smart Lighting for Kids' Rooms: Night Lights and Wake-Up Routines,lighting,OK,,yes,1155,381,,6,0,0,,,,
article,https://nxtsmarthome.com.au/robot-vacuums/roborock-vs-ecovacs-vs-dreame-australia/,roborock-vs-ecovacs-vs-dreame-australia,Roborock vs Ecovacs vs Dreame in Australia (2026),robot-vacuums,OK,,yes,1252,397,,6,0,0,,,,
article,https://nxtsmarthome.com.au/robot-vacuums/self-emptying-robot-vacuum-worth-it/,self-emptying-robot-vacuum-worth-it,"Are Self-Emptying Robot Vacuums Worth It? Bags, Noise and Cost",robot-vacuums,OK,,yes,1112,363,,6,0,0,,,,
article,https://nxtsmarthome.com.au/setup-guides/smart-home-automation-routines-beginners/,smart-home-automation-routines-beginners,Smart Home Automation for Beginners: Your First 5 Routines,setup-guides,OK,,yes,1347,358,,10,0,0,,,,
